education_level,discipline,years_total_experience,years_skill_main,current_job_title,skills,certifications,num_promotions,avg_tenure_months,gap_months_last5y,location_city,work_authorization,gender,age_range,languages.English,languages.Spanish,languages.Hindi,languages.Armenian,languages.German,languages.Turkish,languages.Mandarin,apto
Bachelor,Business Administration,10,9,Engineering Technician,"['PC Operating Systems', 'Microsoft Office', 'Outlook', 'Internet', 'MS Excel', 'PowerPoint', 'Oracle', 'network systems', 'documentation', 'inspection', 'logistics', 'safety', 'scheduling', 'shipping', 'supervision']",[],2,36,0,Texas,Authorized,Male,30-40,Native,,,,,,,-1
Other,Engineering,20,20,Engineering Assistant,"['Administrative support', 'Critical thinking', 'Project management', 'Quality assurance', 'Technical review', 'Document control', 'Team management', 'Problem solving', 'Maintenance', 'Electrical systems']",[],2,24,0,Pearl Harbor,US Citizen,Male,40-50,Native,,,,,,,-1
Other,,25,15,Engineering Manager,"['Project management', 'Process improvement', 'Testing', 'Evaluation', 'Analysis', 'Electrical wiring', 'Plumbing', 'HVAC', 'Carpentry', 'Soldering', 'Welding', 'Detail-oriented', 'Safety']",[],2,36,0,City,Yes,Male,46-55,,Native,,,,,,-1
Bachelor,Computer Science,2,2,Engineering Intern,"['AutoCAD', 'BIM', 'C++', 'Python', 'Autodesk Inventor', '3Ds Max']",['BSA Eagle Scout'],0,6,0,Lynchburg,Yes,Male,18-24,Native,,,,,,,-1
Bachelor,Civil Engineering,25,15,Engineering Technician,"['Design/Drafting', 'Surveying', 'Construction Inspection', 'Environmental Sampling', 'Data Processing', 'Software: Microstation, GeoPak, ArcView, Microsoft Access, AutoCad, Eagle Point']",[],2,60,0,City,Yes,Male,40-50,Native,,,,,,,-1
Bachelor,Engineering,17,10,Test Engineer,"['Digital/Analog Circuits Design', 'RF Circuits Troubleshooting', 'Python Scripting', 'UNIX Script & Shell Programming', 'Networking Essentials', 'Test Equipment Operation', 'Lean Six Sigma', 'CAD Design']",['Bronze Six Sigma'],2,72,0,City,Yes,Male,35-44,C1,,,,,,,1
Bachelor,Engineering Technology,15,10,Engineering Technician,"['Operational analysis', 'Root cause analysis', 'Technical plan execution', 'Time management', 'Product improvement', 'Manufacturing process controls', 'SolidWorks', 'Complex system troubleshooting']",[],2,36,0,City,Yes,Male,40-50,Native,,,,,,,-1
Bachelor,Engineering,2,1,Engineering Intern,"['DMAIC', 'FMEA', 'Kaizen', 'Lean Manufacturing', '5S', 'Value Stream Mapping', 'Root Cause Analysis', 'Statistical Process Control', 'Process Capability', 'ANOVA', 'Gage R & R', 'Programmable Logic controls (PLC)', 'Discrete Control system (DCS)', 'Minitab', 'Pro-E', 'Auto-Cad', 'C++', 'C', 'Visual Basics']",[],0,6,0,Navi Mumbai,Yes,Male,25-30,C1,,B2,,,,,-1
Bachelor,Engineering,3,3,Engineering Assistant,"['C', 'R', 'Catia', 'AutoCAD', 'ANSYS', 'Microsoft office', 'Product Project Management', 'GD&T', 'Minitab', 'Kanban', 'Kaizen', 'FMEA', 'Toyota production systems', 'APQP', 'PPAP', '8D', '5 why', ""KPI's"", 'Reliability SAE Standards', 'Vehicle ergonomics', 'DVP&R', 'QCC', 'CNC engineering']",[],1,36,0,City,Yes,Male,25-34,C1,,,,,,,-1
Bachelor,Electronic Technology,31,24,Thermal Technician,"['Critical Thinking', 'Effective Multitasking', 'Deadline Compliance', 'Problem Solving', 'Troubleshooting', 'Schematics Reading', 'Microsoft Office Suite', 'Production Scheduling']",[],1,36,0,City,Yes,Male,41-50,Native,,,,,,,-1
